Address,City,Degree,Experience,Feedback,Fees,Name,Rating,Specialization
Apollo Sugar Clinic,Hyderabad,"MBBS, MD - General Medicine",14,"I would like to share the experience with the Dr. Arshad Punjani sir. ,Very patient friendly. ,. No unnecessary drugging.,I recommend very much.,He is a good doctor . Recognised the ailment very early and prescriptions are very good. He is very polite in his nature.,so friendly and explains the issue too accurately and doesnt let the patient bother much and instills confidence in the patient..",500,Dr. Arshad Punjani,,Internal Medicine
Continental Hospitals,Hyderabad,"MBBS, MRCP (UK)",15,"My mother is an asthma-COPD patient and I took her  to Dr. Pradeep garu at continental hispitals. The condition of my mother was not stable as she is unable to take proper breath, her SPo2 and oxygenation levels were very low. The doctor keenly studied the patient's previous medical records and checked the patient condition. The patient was immediately taken into emergency and treatment was started by the docor. Within 24-36 hrs my mother got to normal state, her spo2 and oxygenation levels were improved. The medication prescribed by the doctor worked wonderful. Now my mother is doing well and happy with the treatment. I highly recommend this doctor.,diagnoses the problem with patients by listening to their issues very meticulously and provides correct treatment for cure. I am very thankful to him for my pneumonia treatment for which he was able to diagnose on the first visit whereas I earlier visited Apollo and they did all the tests of Malaria and Dengue and were not able to tell me that I have pneumonia.,Doctor clearly explains things. He has lot of patience, gives enough time for your questions. Overall very happy with his treatment ,My experience under him was very  good. The sharing of information related to disease was listened by doctor and care taken was very nice.He also responded to queries personally. He also very caring, friendly by nature.Treatment could go in proper manner by which the patients could not face much difficulty. It was great to undergo treatment under supervision of Dr. Pradeep simha sir. Thank you sir... ",700,Dr. Pradeep Simha K,3.5,Pulmonologist
Ozone Hospitals,Hyderabad,"MBBS, DNB - General Medicine",15,"I appreciate and am grateful to Dr. Indrasen for his spontaneous reflexes to take immediate action in sending an ambulance to our home and to bring my husband to the hospital. His immediate action to conduct required scans to conclude the diagnosis of which he was already sure. To admit him in general ward and give the patient ICU treatment giving the patient's family monetary help indirectly.  Monitoring his condition continually and finally bringing a patient who was on the edge of collapse back to life.  I cannot thank him enough but such doctors bring back faith in not only humanness but high standards in the medical profession. ,Very friendly doctor. With this friedliness, i think patient dont need medicine. Even the nurse Ms .Yasmeen was very attentive.,He is very nice doctor, understands all our problems and he is very humble doc. I recommend all my friends and family members ....,Sir was very polite..  Had expertise and patience .. He treated me without any investigations only basing on thorough clinical check up.. ",350,Dr. Indrasen Reddy Kankanala,4.0,General Physician
Tulasi Hospitals,Hyderabad,"MBBS, DNB - General Medicine",10,"Doctor was very friendly and professional , explanations of my health and taking care of health.,He explains in nice manner. He gives very good suggestions.i feel comfortable and i recommend.,he  diadgosed the condition in short time  and treated properly and gave good  suggestions to prevent further complicatons.,No use of consultant doctor. Not even primary investigation of wound . Directly saying admit first then will start medical management of this. no even %1 of value cost.",300,Dr. Mithil B Ghushe,4.5,General Physician
Aster Prime Hospitals,Hyderabad,"MBBS, MD - General Medicine",28,"Good enough no issue with the doctor. I visited for general fever treatment. The doctor's behaviour was good and listened to our problem. I wouldn't like to recommend this doctor to others because instead of treatment he used to do the right investigation. I would like to give a rating of 4/5. , ,Consulted to the doctor, he is a good doctor about treatment. Once I booked an appointment from Practo that time he is not available. Main thing is doctor timing because he will not be available sometimes. I would like to give a rating of 3.5/5 but he is good, honest. And I visited for my wife fever treatment and he prescribed medicine not reacted differently but he is good. There was waiting time while collecting medicine, It took a long time around half an hour.,Doctor had prescribed exact medicines to cure the issue. Doctor's deep knowledge regarding my health issue understanding was good",500,Dr. S. Ravindra Kumar,4.0,General Physician
"Apollo Medical  Center,Apollo Clinic",Hyderabad,MBBS,11,"Visited for possible chicken pox case. The visit was hassle free and quick. The doctor was patient and understanding. ,The doctor was really courteous and explained everything in detail. Her,attention to detail was really spot on. ,Got to know that this doctor doesn't treat children of 17 years. Not sure of this strange reason. If at all there is such if age limit then these specifics should be asked while booking the appointment. It was a last minute rejection to attend the patient. Either these things should be dealt by practo or the doctor should have some valid reason mentioned in prior.,""Lesson Learnt "" Doctor, I have ever seen in my life, , hardly listen to patients described symptoms.",450,Dr. Ananda Sagari,"4.5,3.5",General Physician
K K Reddy Hospital,Hyderabad,"MBBS, DNB - General Medicine",12,"Very much approachable ,great patience,Doctor was good but the staff in the hospital do not maintain punctuality we have waited for almost 2 hrs . What if the patient condition was serious?? ,I am visiting Dr. since a year., he listens our problems and with symptoms that we tell he make out the problem/root cause.He prescribes only required medicines and If required(if health is totally down) then only advice us to admit in hospital.,My father was admited in emergency for fever and increase in sugar levels",400,Dr. Ajit Kumar Azad,4.5,General Physician
Zoi Hospitals,Hyderabad,"MBBS, MD - General Medicine",6,"Very friendly doctor she explain me each and every thing about my problem thanks to practo I m satisfied ,Doctor was so friendly, she asks about all the concerns of patient and answers them in very good manner. I really recommend the doctor. Happy with the experience.,Visited for my Wife health issue. Madam was very friendly & listen to our problems/symptoms.        ,Good. But reception ppl in first floor need grooming  ",300,Dr. Aashritha Mekala,5.0,General Physician
ARC Super Speciality Clinic,Hyderabad,"MBBS, MD - General Medicine",7,"Doctor Is Well Experienced..He will Explain Everything With patience.,Thank You Sir for Your Valuable Treatment And Suggestions to Get from rhematisam... ",400,Dr. Ranjit kumar S,,General Physician
Apollo Hospitals,Hyderabad,"MBBS, DNB - General Medicine",34,,800,Dr. Prabhakar E Shastri,4.0,Internal Medicine
Anaya Hospital,Hyderabad,"MBBS, DNB - General Medicine",7,,400,Dr. Sandeep Cheruku,,General Physician
Padmaja Hospital,Hyderabad,"MBBS, MD - General Medicine",25,"doctor is very friendly and listen to patient queries very patiently.  try to understand the problem very well ,I went for body full check up. The way of treating and interaction is very good.low medical expenses.,He is very calm and listens cool what u say... After that he will diagnose ur disease ., ,Hi, I was waited from more than an a hour then staff say doctor is not good and they cannot have constantly today and staff are very in professional.",500,Dr. R Sundar,4.5,General Physician
Humain Health,Hyderabad,MBBS,14,"He explains everything about our health in a very clear and understanding way.!, ,Very good infra and doctor with each and every detail shared by doctor even without being asked for. The doctor explained the process of diagnosis , symptoms and even the cause .",500,Dr. Powaku Arun Kumar,,General Physician
K&H Personalized Medicine Clinic,Hyderabad,"MBBS, Diplomate of American Board of Internal Medicine (Internal Medicine), DNB - General Medicine",16,"Visited for thyroid treatment and the treatment was completely different. Seeing a doctor is definitely not a scary thing now. Friendly nature and gives precised medicine.,I have been diabetic from past 4 years. However my blood sugars did not go down as much even after I avoided sweets and did regular exercise in the gym. Dr. Kalyan helped me with good suggestions on keeping blood sugars under control and also I found out my DNA did not accept my  medication and I started using one given by Dr. Kalyan. Also I found out My body type is more suitable to Light exercise like walking and runing or cycling than weights. After I started the recommended medicine and regimn given by the dr I see significant decrease in my sugars. Also my BP is in check . I would recommend him for anyone who has done things to get sugars down but could not.I am very happy.,For the first time I met a doctor who listens to the patient's concerns without minding the time. He listened to me patiently, got his questions answered like my eating habits, life style, work atmosphere, family health history etc., he also made me realise how my work pressure played a major role in me getting diabetes, hypertension. Suggested me medicines that works perfect for me and also suggested me some good exercises which makes me keep my cool. ,.,K and H personalised medicine clinic is really one of a kind clinic. The moment you enter the clinic, you are welcomed with warmth. Front staff and the support staff are very courteous. Had an appointment with Dr Kalyan, he does care about your medical condition. All blood work is done in the clinic itself. Dr took his time to explain my condition. During my visit of almost one and half hour the clinic I never felt that I came to healthcare setting. It felt like a main lobby of a seven star hotel and treatment is on par with any hospitality industry. I recommend everybody to visit the clinic for the trusted and caring medical treatment. If not having any issues I do recommend visiting just for the experience.",1500,Dr. Kalyan Uppaluri,5.0,General Physician
"Apollo Spectra Hospitals,Apollo Medical  Center",Hyderabad,MBBS,14,"Doctor clearly understood my doubt and clarified them with good explanation. I am completely satisfied with the consultation.,I recommend that you visit the doctor as he is one of those doctors who take ownership in understanding the issue and fix it.",600,Dr. Anirudha Anumula,"3.5,4.5",General Physician
Dr Batra's Positive Health Clinic Pvt Ltd,Hyderabad,BHMS,5,"I consulted the doctor about my piles problem which i has from last 6 years. I almost gave up untill one of my friend suggested me to consult her. Within 2 visits i started feeling well and in approx 1 and 1/2 month i got rid of this problem. Many thanks to doctor.,I am suffering from sinus problem from last 2 years. My friend who already consulted hhh homoe clinic told to go. I must admit that within 1 week I improved a lot and my headache is vanished. I took my parents yesterday to consult nahida madam and they are really happy with how dr listened to them and provided clear explanation of their complaint. Thank you mam.,She is giving very good, way of giving treatment is good even way of treating with patients is good. Not only me even my family is very much satisfied with her treatment ,First of all, Thank you doctor. I had gases problem from last couple of months and i was finding a cure  using english medicines but everything went in vain then my collegue referred me to hhh homeo clinic. I just went there 2 times and i am really happy that my problem is over now.",450,Dr. Nahida Khan,,Homoeopath
Peoples Polyclinic,Hyderabad,"MD - General Medicine, MBBS",10,"Doctor Samar listens very patiently to our problems. Explains the root cause of the problem. Specifies tests only if it is necessary. And along with medicines also explains the preventive action to avoid any such health condition. Overall I am very happy with his approach and treatment.,After the prescribed medication, stomach was gone which was there since two days. I would highly recommend him.,The way doctor asked about my health history may very good.before treating the patient doctor has taken his medical history that seems to be very impressive....the medication which doctor has provided is very effective...,Doctor Samar Sen is very friendly and nice. He asked lot of questions to know about the exact problem. ,He also available on what's app for any query and assistance.",500,Dr. Samar Sen Popuri,5.0,General Physician
Naijer Polyclinic,Hyderabad,MBBS,8,,150,Dr. Mohammed Khaleel,,General Physician
Continental Hospitals,Hyderabad,MBBS,10,,1000,Dr. Vinod Kumar Reddy Maddi Reddy,3.5,General Physician
Surakshaka Multi-Speciality And Diabetes Hospitals,Hyderabad,"MBBS, DNB - General Medicine, Post Graduate Diploma in Diabetology (PGDD)(Madras Medical College)",32,"It was a great experience. She listened to the concerns very patiently. We will recommend her to others as well.,Dr. Lily Rodrigues was good in listening and understanding the patient problems & issue. Even though there was language difference, she was calm enough to find a common ground and understand the problems. She diagnosed the problem and immediately admitted the patient to her clinic. Prescribed tests and medics accordingly and was made sure she visited everyday twice(charges are separate for these visits and NOT FREE) to check on the admitted patient.,One word would be enough to say about Dr Lily-- The Life Saver.,very expensive..does not value the amont you paid...and the hospital rooms are too bad,please dont visit this hospiatl..",650,Dr. Lily Rodrigues,4.0,General Physician
Ozone Hospitals,Hyderabad,"MBBS, DNB - General Medicine",2,,350,Dr. DIVYA REDDY BADDAM,4.0,General Physician
Apollo Clinic,Hyderabad,MBBS,23,"I will not recommend this doctor at all. I had a very bad experience with her. I waited for long time there even though there were no patients. ,Doctor is bad in conversating with the patient, she is blunt in her suggestions. When we ask for some suggestions she backs off. A bad experience. Not recommended at all.",450,Dr. Amirneni Kavitha,3.5,General Physician
Apollo Sugar Clinic,Hyderabad,"MBBS, Fellowship in Diabetology",19,"I usually dont believe in feedbacks but after getting treated by this doctor i thought i should write my experience which would help u all. We are from Warangal. My father has diabetes since last 15 years. We visited almost 10 doctors in the last 15 years. But his sugar levels were always above 200 even after using insulin. My father turned to have foot burns eventually. Later we got to know Dr. Sanjoy poul. He is treating my father since last 6 months. Now my father's sugar level has come down to 140., Worth to consult him for all diabetic problems.,Hi.  I guess u or someone dear to you must be suffering from diabetes that's why you are here. But don't worry . all is well when you have Doctor Sanjoy Paul to treat you . ,He is so adorable and one of a gem. He creates an aura around him. Thank you so much! Solomon’s mom.,Me and my daughter travelled from khammam to Hyderabad to get treatment from Dr Sanjoy Paul..",510,Dr. Sanjoy Paul,,General Physician
Apollo Hospital,Hyderabad,"MBBS, DNB - General Medicine, Fellowship in Diabetology",14,"I would like to share the experience with the Dr. Shaeq Mirza sir. \nDoctor boosts the patient with his friendly nature and also cracking jokes at times, to reduce the stress,dullness and fear of patient. He treated the patient as a family member during the period of treatment.\nMy mother Habeeba khanam sameena was taken to Apollo hospital hyderguda under serious conditions as she was suffering with very high fever, body pains and illness. She immediately got admitted. Later  on various reports and results shown that she was suffering with viral attack, fatty lever and lung infection. In her 6 days of stay, she got acute observat,nt. As a result she got better than the normal health when she was discharged.\nI am thankful towards the trio team of Dr. Shaeq mirza , Dr. arshad punjani and Dr.Hari kishan  and also towards the Apollo hospital, hyderguda for their care and support towards the patient and attendents.\n,i know him since 10 Years ... very good at addressing patient problem ,avoiding unnecessary medication and test, giving valuable suggestions and healthy Tips, Hoping Sir to start his own clinic.. Shukriyaa sir...,Dr.Mirza is very nice ,dr understand the problem of patients very well and he listens to you very patiently.it is 100%worth to consult Dr Mirza. Awesome doctor I had ever seen in my life.,I've paid 600 bucks to the doctor but I didn't even get 6 minutes of his time. He just recommended medicines to me without explaining or educating me anything about the root cause of my issue. Of course, he must have good experience and going by Practo reviews, he surely must be a great doctor too but I was totally dissatisfied ",500,Dr. Shaeq Mirza,4.5,Internal Medicine
Zoi Hospitals,Hyderabad,"MBBS, DNB - General Medicine",8,"I am relieved with my health issue. Although doctor informed me about the sleep the medicines would induce... I am finding it difficult to get up .,I have huge relief in the coughing. Thanks. ,The doctor 's behaviour was good, I visited for dengue treatment and was admitted for 3 days in hospital. The doctor prescribed medicines. It was very helpful to cure the problem. I would like to give a rating of 9/10.,Doctor behaviour was good and he listened to our problem very well. I went for fever and cold. Doctor prescribed medicines which were very helpful to cure the problem. I would like to give a 4/5 stars to the hospital and I will recommend this doctor to other patients., heard the problem patiently and suggested required treatment. I am satisfied with doctor treatment. I would like to recommend this doctor. There was not much waiting time and everything was good in the hospital. I would like to give 5/5 stars to this doctor",400,Dr. Vikram Padidhala,5.0,General Physician
Pragma Speciality Clinic Diagnostic and Scan Centre,Hyderabad,"MBBS, DNB - General Medicine",9,"The wait time is not commendable. The doctor patiently listens to everything. Sees your previous reports if you have any. Explains everything and answers to your queries. Prescribes the required medication. What else does one need!!!,it was a great experience. Doctor is very friendly ,Staff needs to be more professional.",350,Dr. K Vamsi Mohan,,General Physician
Apollo Hospitals,Hyderabad,"MBBS, MD - General Medicine",19,"Hi,,Myself kareem diagnosed with anxiety induced hypertension say white coat blood pressure ....visited many physicians in my locality but they were scared me alot finally when i approach him sir treated it very well and switches me to anti anxiety meds aswell feeling happy ....,My mother was admited under Rajib for Fever treatment ..his interaction with patient is not even for 2 min ...he have not spoke about the problem with patient /attenders ,also not informed on treatment plan ...he was unattended at IP for 2 days.,they charged 2000 per visit which is not even of 2 min ....his regulars consultation is 800 only ...but for IP patients after reminders it was 2000...zero patient satisfaction no progress on patient health was shared ...they have billed for unperformes tests ",1000,Dr. Rajib Paul,4.0,Internal Medicine
"Apollo Hospitals,Apollo Sugar Clinic",Hyderabad,"MBBS, MD - General Medicine",23," He practices at Apollo Health City at Jubilee Hills, ,His Best Advantage is He listens about the problems shared with him through phone or consultation and acts accordingly. Would Recommend him to everyone..",1000,Dr. Surya Pavan Reddy,"4.0,3.5",General Physician
Apollo Hospitals,Hyderabad,"MBBS, MD - General Medicine, Fellowship in Rheumatology",30,"I have been searching for a good rheumatologist doctor for my arthritis problem and I finally found Dr.Sarvajit Pal, he explained the treatment procedure to me in detail and I was so happy that I consulted the right person for my arthritis problem.  After 2 visits my pain is decreased by his perfect medicine.  All , very experienced and his approach towards the solution is excellent for arthritis. I would definitely recommend Dr.Servajit Pal for other patients who are suffering from arthritis. ,I was in terrible pain due to high uric acid levels for the past 4 years. I literally lost myself with joint pains & discomfort followed by swelling in legs, hands & fingers. I stopped taking protein-rich foods & non vegetarian food. Due to this, I lost almost , We are very happy to meet the doctor pal. He talks with patients very soft and nice way.,I booked through Practo so got chance to meet the doctor ASAP. he has gone through all the old prescription and asked for few test. Very friendly and gave time to the patient to listen their problem. He advised to come after test. we did same and he has given medicine for 6 months. I can't comment on treatment as it will be too early. till now experience was good. you can trust on him that's most important for any patient. ",800,Dr. Sarvajeet Pal,4.0,Rheumatologist
Sunshine Hospitals,Hyderabad,MD - Physician,23,"I want to update that Dr Vikram Sharma is not available as a consultant at St Theresa hospital .I enquired and get to know that he is not visiting hospital now. I personally feel very disappointing because Dr Vikram Sharma is living hope for many patients at St Theresa hospital Erragadda Hyderabad. I am very much thankful when he treated my Mother suffering with Ceribilum hameorage problem and motivate her to have good life. I believe most of the Neorology patients miss Dr Vikram Sharma at St Theresa Hospital...  ,Taking treatment for last eight months very good . We are very happy with his treatment. We know him when he was in St.teress.,i called hospital and they gave me appointemnt of 1pm but the doctor didnt turn up until 2:30 pm. Doctor came to the hospital late and then went for lunch. it is hospital staff responsibilty to communicate properly so that the patients are not waiting endlessly.,The doctor lacks empathy and is only interested in minting money. Did not bother to even listen carefully about symptoms or take time for physical examination..went ahead and prescribed 13k worth tests. Dont go to this doctor!!",500,Dr. Vikram Sharma,4.5,General Physician
Khair Diabetic Clinic,Hyderabad,"Fellowship in Diabetology, Post Graduate Diploma in Diabetology (PGDD)(Madras Medical College)",17,"This was my third visit to the doctor..really appreciate the way he explains things in details and also gives time for the patient to discuss there issues and concerns.. a friendly doctor who makes you at ease with a smile on his face..I always prefer doctors where we can have a two way conversation and he is the one and the best...visiting him has also helped me to maintain my health and diabetes ..thank you doctor for your help..really appreciate , His friendliness, way of talking, patience, approach to patient and treatment superb. ,I visited 35+ years of experienced Diabetologist, and Endocrinologist from well known hospital in Hyderabad. Honestly, you would be surprised that none of them really told me how to inject insulin nor either of them gave me a prescription to buy Insulin. So you can imagine what sought of trauma I went through being first person to be diabetic in my family. None of these doctors even bothered to tell me what should be eaten and what not. I relied on internet sources for my food habits. My biggest problem is, my sugar levels keep fluctuating very drastically. If it is 300 at this moment any time it may drop to 40–60. I had lost almost 12 kgs in 2 weeks time. Mentally I was so depressed until I was referred to Dr. Mirza by my family dentist. Below are few important bullets about this doctor:",500,Dr. Mirza Aziz Baig,5.0,Diabetologist
"Apollo Sugar Clinic,Humain Health",Hyderabad,MD - Physician,15,"Myself R.Gireesh, I have booked an appointment with Dr.Jayaprakashsai after i googled about him in internet.Some of his statements from the website (deardiabetes.in)impressed me very much and which made me to meet him are 1.""Passion in empowering public on Diabetes Education and Prevention"" 2.""Believes in Holistic Approach in Managing Diabetes"" . When i first met him my sugar levels are high, my HbA1c is high ""9.5"" and also Liver function test parameters (SGOT,SGPT)are also high.Doctor immediately didn't gave high medication.He did very good counseling to change my lifestyle.Doctor listens to the patient coolly and the way he interacts with patient will be like talking to a friend or well wisher.Doctor gave confidence and motivation which inspired me to follow the diabetic lifestyle, which helped me to decrease the sugar levels with basic medication.Because of the decrease in sugar levels, my liver function test parameters also decreased.I'm  happy for not only decreased sugar levels but I'm double happy for my decreased liver function test parameters.In the Current commercial era  it is very hard and difficult to get a such good doctor because medication any doctor can write but giving confidence,motivation and inspiring the patient is divine quality.With such a high profile very down to earth person.I feel ""Dr.Jayaprakashsai"" meaning of a doctor.   , came across as a friend encouraged me to beat diabetes with a change in life style food habits and exercise. I just followed his prescription and her I am one month later with my diabetes in control and with a new out look on life. , a doctor like him diabetes will be defeated.  I'm gonna recommend this clinic alone to all in my contact to Dr Sai. I wish docs with such dedication were available everywhere so that disease would be in control and a country like India will be diabetes free. Thank you Dr Sai and thee excellent team of Radhika, Ashwini and Anupama and Dr Zubeida, He listens to the patients and treats patients like family members.he understands patient very well and he is not like other doctors.when I came to him I was so tensd. He counselled me very well and now  I am perfectly fit.he does not use any medicine and controlls diabetic with counselling and  simple life style changes.in simple he gave me life.if ur prone to diabetic I strongly recommend to go for him.,It is an amazing experience to meet Dr. Sai. My mother was diagnosed with adult diabetes a decade back and it was not a good experience for her. She was often juggled between opinions, medicines, doctors. Somewhere she started developing stress and started neglecting health to an extent of stopping all prescribed medicines and diet. After convincing her to try the new Apollo diabetic clinic we walked in without knowing whom to see. Boy was it a pleasant surprise to meet Dr. Sai and dietician Radhika :-) ",550,Dr. J.Jayaprakashsai,,General Physician
Sneha Clinics,Hyderabad,MBBS,14,"Recommended for all common and seasonal diseases. Worth visiting the hospital. Doctor clearly listens to patients' health problems and provide the apt medicine.,He was very patient, listened to all problems....overall good experience with the way he treated. overall good,Doctor is one hour late than fixed appointment time other than that everything was good and doctor was also very helpful in diagnosiing the issue,As what mentioned in Practo plus has happened.Little wait, prompt service and affordable price for consultation. Doctor is friendly and I have positive experience.I didn't use medicine yet but I feel issue will be resolved and doctor gave good advice.Only thing I see is medical shop at clinic where I didn't get any discount for medicines. ",200,Dr. G.Ramesh Raju,4.5,General Physician
Apollo Hospital,Hyderabad,"MBBS, DNB - General Medicine",41,"He was examined the patient completed, listened to the history and didn’t prescribe unnecessary tests or medicines. He explained the condition very well and had a reassuring manner,Very friendly n helpful Doc, listened to me and advised more precautions than meds. Plz go for him, he’s great.",500,Dr. S.Bhattacharjee,4.5,General Physician
Apollo Clinic,Hyderabad,"MBBS, DNB - Family Medicine",5,"Doctor’s willingness to hear out patients words and understanding the requirement by guiding through right direction and following up,First of all Dr. Usha should be on time and examine the patient not by just asking the patient what's the problem. She didn't checked the BP, Weight and examined the health of the patient. Just in 5mins she wrote the prescription and asked to leave.",500,Dr. Usha Gaddam,3.5,General Physician
