Address,City,Degree,Experience,Feedback,Fees,Name,Rating,Specialization
Fortis Hospital - Anandapur,Kolkata,"MBBS, DVD",20,"Doctor explains problem nicely and also explained which medicine is for what purpose.He prescribed some tests as well.,I appreciate his proper understanding of the problem and giving me proper explanation and guidance for the disease.,I was a regular patient of doctor sanjiv Chaudhary who had cleared me of my balanitis.So I had high hopes on him and went to see him again after my balanitis had relapsed after 2 years.First of all he diagnosed my problem as candidal balanitis and suggested me to use lullifin.There was a single rash prior to the treatment and immediately after using lullifin I developed multiple rashes.I went to see the doctor again and he dismissed the rashes as nothing.Soon the rashes got bigger in size and became painful.He then diagnosed the rashes as a chronic skin condition and prescribed an ointment for the same.My rashes started stinging after using the ointment and I was forced to change my doctor,And it was under him that I convalesced,I visited the Doctor, hoping to get all the anwers for my condition, but he seemed to be too busy to answer all my questions. In between the session he even tried to end the session by calling the receptionist to check, if there is any new patient waiting for him. Instead of explaining me  properly all the medicines that he prescribed he was just asking me to leave and call the clinic for getting appointment for the laser/peeling/dermaroller treatment. I agreed that laser/peeling/dermaroller treatment can be done but I also need to be satisfied with all the questions I have regarding my treatment. After all I am paying for my consultation and then I should get atleast 15-20 minutes of undisturbed consultation from the concerned Doctor. I really had to try hard to get to know all the information from him and I am really not happy with my session with him.",990,Dr. Sanjib Chowdhuri,3.5,Dermatologist
"Teeth Care Multispeciality Dental Clinic,Teeth Care Multispeciality Dental Clinic",Kolkata,"BDS, MDS - Prosthodontics",11,"In January 2020 I had a full mouth implantation at Teethcare by Dr, Sanket. I am really happy and satisfied with the result. The best thing I felt about Dr, Sanket was the way he interacts with his patients. From the very begining onwards I felt that I was in good hands. I do thank Dr. Sanket and his entire team for the wonderful service at Teethcare.I would like to recomend Dr. Sanket to all who likes to have dental treatments especially implantation by some one who  knows his hand work perfectly.,I underwent a smile correction treatment at Dr. Sanket during my visit in India, and I can say that was one of the best decisions made. I used to be really conscious of the misalignment and the colour variation of my front tooth for a long time and have been visiting a lot of dentists to get it treated. Dr. Sanket was upfront about his approach to the treatment and clarified all doubts patiently. He also worked around the short time I had in India and accommodated me in his schedule. Initially, I was a little hesitant, however I have no regrets after seeing the results. I feel really happy with the end results and would definitely recommend anyone to do the same.,My wife has been a patient of Teethcare for more than one year now. Teethcare is really wonderful place with friendly staff, professional doctors and efficient technicians. My wife’s implants were done with meticulous care and perfection. ,Teethcare brings smile on our faces at every visit! While the expertise and experience of Dr Sanket, who treats us more as a friend than a patient, assure perfection to the treatment, his very friendly team of dentists, technicians, assistants and even the office stall ensure that you are totally at ease while you are there on or off the dental chair. I wish Dr Sanket and his team at Teethcare continued success and excellence!",300,Dr. Sanket Chakraverty,"5.0,5.0",Dentist
"Apollo Gleneagles Hospitals,Apollo Gleneagles Cancer Hospital",Kolkata,"MBBS, MS - Obstetrics & Gynaecology, MRCOG(UK)",22,"Someone below has shared billing related issue - am sharing my personal experience. We had a baby boy delivered under Ma'am supervision. She provided the bill as requested, however, the insurance company wanted a different format on her letter head. I approached her and she gave me what the insurance company had asked for without the slightest hesitation, infact she asked me what do you want me to write. Besides being a great doctor she is a very nice person. Lastly, I admit the wait time is a bit on the higher side but I guess it is true for all top doctors and is totally worth the time. , My wife and I went to her first when she was around 4 months pregnant. We immediately realised that it was the best decision taken. Her care for the patient is exceptional, something that immediately stood out given our experience with some other doctors. Right through my wife's pregnancy, she guided us at every step. Finally on Nov 8, we got our gift from God, all thanks to our wonderful doctor. We would recommend her any day to anyone. Thank you doctor for everything you did for us.,My wife (S Sen) visited Mrs Patra for pregnancy checkups during Oct 2016-Jan 2017. We read a lot of reviews on her in internet and selected her out of best of the doctors in Kolkata. This was my wife's first pregnancy and I wanted everything to be perfect.,Very BAD experience..",700,Dr. Sharmishtha Patra,"4.0,3.0",Gynecologist/obstetrician
Fracture and Orthopaedic Clinic,Kolkata,"MBBS, FRCS - Trauma & Orthopedic Surgery",30,"My daughter Amita Roy age28 female has operations in knee by titanium  for ligament fracture before  about 75 days ago  still can not work freely ,My husband Aloke Kumar Bose recently underwent tendon rupture anchoring in both legs by Dr Kaushik Sarkar. Both of us were completely taken in by the Doctor's amicable disposition and courteous nature.An extremely good Surgeon,he made my husband fully mobile within a very short period of time.,The doctor is a very experienced one. He was able to understand the pain quickly. He was also very friendly. He suggested physiotherapy rather than medications. He also told us that if anything emergency happens, we could give him a phone call. The best experience.,Even he was not patient enough to hear the details of other injured parts of the body which were paining due to accident. ",800,Dr. Kaushik Sarkar,4.5,Orthopedist
Calcutta Cureline - IVF & Infertility Clinic,Kolkata,"MBBS, MD - Obstetrics & Gynaecology, MRCOG(UK)",27,"It's treatment is very expensive. , I am only earning member in my family so this treatment is very expensive for me.,The doctor is definately experienced and the best thing is he listens to the problems first and then clarifies each and every dount. Much satisfied with his consultation. Would recommend him to others too.,Thank you Dr. Biplab Roy Chowdhury.,My experience is very good Dr sir is nice person and helping nature and good advice .",800,Dr. Biplab Roy Chowdhury,5.0,Gynecologist/obstetrician
Smilecare Dental Clinic,Kolkata,"MDS - Periodontology and Oral Implantology, BDS",14,"Dr. Chandra is a very gentlemen person. His behaviour with patient is very satisfactory. However he explained the issues as well as the procedures of treatment clearly. ,Behaviour is also good soft and polite ... ,I had visited Smilecare Dental Clinic about 2 months back for some dental fillings. Upon checking, doctor diagnosed four cavities in my mandibular posterior teeth for which I was getting mild pain and sensitivity.  I had to undergo one root canal treatment and three cosmetic fillings.,he not only did rct in a single sitting but also the fillings were absolutely invisible,quite unlike my old metal fillings which have turned black. I even plan to get those old fillings with tooth colored ones. Thank you doctor.,The doctor went for an extraction without doing any xray or any pre extraction medicines , He gave the anaesthetic injection and went straight for removing the tooth without waiting for it to take effect. My dad was in excruciating pain and we had to abort the procedure , ",400,Dr. Deepan Chandra,5.0,Dentist
Body N Mind Cafe,Kolkata,"MBBS, DGO, DNB - Obstetrics & Gynecology",35,"Doctor Madam was very friendly and she listened to all my problems patiently and carefully . And gave me solution to all my problems and queries. Other members of the clinic was also very friendly and gave me a homely feel. Thanks a lot Dr Madam and team.,I have visited her first time, but I like her approach,with her expertise and observations., She is very friendly and helpful. I will highly recommend her to everyone. 👍,Well.",1000,Dr. Subidita Chatterjee,4.5,Gynecologist/obstetrician
Mission Smile,Kolkata,BDS,17,"She explained various procedures accurately and pointed out reasons for my gum and teeth problem which I was never explained by other dentists. Overall I think she is a genuine person ,Lying on the dentist's table is a frightening experience. The challenge of the dentist therefore is to earn the trust and confidence of the patient as quickly as possible. After the two sittings  I have so far had with Shruti, I am pleased to say that I feel comfortable with her. Her procedures on my teeth (root canal and preparation for subsequent capping) were carried out flawlessly. She also had maintained good communication with me right through the procedures and helped me relax. The only downside I have to mention is that I found her support staff below par. When asked to hand over an instrument or an accessory, they often took a very long time, which in my experience is very unusual.  This is probably a training and management issue, but it needs the attention of the owners of the clinic.  ,Excellent, Clean,  professional & caring speciality Dental clinic.. ,  Dont ever take the treatment from her. I have visited asthetica clinic for pain in wisdom tooth in 2015 Feb. She has recommend rct on my wisdom tooth, with latest painless technology they had, that too only 2 sittings. I have paid around 15000 for rct of one tooth only. But right after rct, I had so much pain for first week and was feeling uncomfortable, I have visited clinic 3-4 times, everytime she has done xray, and told me everything is fine, then she grinded other teeth on my compliant, but she did nothing about my wisdom tooth pain, this pain u have tolerated for almost 7-8 months by thinking may be because healing will take time. But finally i have visited Cmc Vellore, they have done full mouth xray and told tooth is in very bad situation, immediately extraction is required, then I have visited some other specialist in bangalore, everyone recommend immediate extraction, and has also told that situation is that bad, that no one can guarantee proper healing as rct has created too much infection in gums.  Now my tooth is extracted, but still infection doesn't go away, and doctors are suggesting surgery in case infection prevails. ",900,Dr. Shruti Agarwal,5.0,Dentist
Sensational Child Occupational Therapy Specialty Center,Kolkata,"Master of Occupational Therapy (MOT), Bachelor of Occupational Therapy (BOT)",14,"OT has been doing properly  by the Trainers. We are happy with the guidance and experience.  We are expecting best efforts from the trainers in future classes.,Very helpful for child with sensory needs. You can see difference with in 1-2 months. Nice effort is given by Santosh sir and Vinay sir with lots of care and patience. Friendly environment. ,It was excellent one to discussion and hope would get huge help for child. ",700,Dr. Santosh Kumar   (PhD),,Occupational Therapist
AMRI Hospitals,Kolkata,"MD - Dermatology , Venereology & Leprosy, MBBS",10,"The most embarrassment i faced ever in my life. This is to express my utter grievance that the appointment got cancelled but nobody from practo or dispensary bothered to inform us. I travelled across in a local train with the patient and got that information of doctor absense while asking a dispensary guy. This is how take care of patients??,good human,spent time with patient and listen allt he problem s. also sent his personal whatsapp where he do reply s. that's good of him,Highly recommended doctor. Very professional,friendly and knowledgeable. I went for my acne treatment. He treated so well only in 3 months my pimple issue resolved. Happy to see the results..Thanks you ,When you go to a skin specialist the first thing you expect is hygiene. It was surprising that the doctor wore no gloves. He touched my face to see the issue and I ofcourse no handwash before or after touching.  really",500,Dr. Shouvik Ghosh,4.0,Dermatologist
Dentistree,Kolkata,"BDS, MDS - Conservative Dentistry & Endodontics",14,"Doctor is very clear about the issues and is friendly while being professional too. The treatments are very good and updated equipments are used. ,Dr Disha  is very helpful and takes her work very seriously . She takes all proper care with the patients treatment and make the patient understand .No doubt she is brilliant. I have got two RCT done by her. The staff is also helpful and efficient . The dental clinic is spacious and nicely done,. Family kind of hospitality with upmost satisfactory level of treatment ... in My words Paisa wasool ... ",500,Dr. Disha Agarwal,5.0,Dentist
Apollo Gleneagles Hospitals,Kolkata,"MBBS, MD - General Medicine, FACC, FSCAI",32,"I am one of his oldest patient . Well behaved and patient friendly, well experience cardiologist . I am his patient since 2005.",1200,Dr. Suvro Banerjee,4.0,Cardiologist
AMRI Hospitals,Kolkata,"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - Otorhinolaryngology",27,"I met the doctor. I had faced two problems, the consultation fees that was confirmed with practo they did not confront those charges, as they said that you have to pay whatever the hospital is charging and waiting time was too long it did not compile with practo given time. I visited the same doctor and I kept calling also but no one received then according to appointment time I went to the hospital but they said it is the normal appointment not on behalf of practo and they were not considering Practo appointment and charged more fees and waiting time was too long. I'm satisfied with the doctor's treatment. When it came to hospital services, everything was good.,very good behavior,well facility..really satisfied..I recommend that everyone should go there for ENT .,First- long wait for the doctor to reach in cabin. For his late, no information and no update at reception.,I have very bad experience with him. , finally have to admit to the hospital...I am not satisfied...gave very less time to the patient...I don't find himself  polite with patient  party..",700,Dr. Dhrubo Roy,4.0,Ear-nose-throat (ent) Specialist
Dentistree,Kolkata,"BDS, MDS - Prosthodontics",15,"I’ve only started visiting, still long way to go. Till now happy, will continue treatment and than will be able to say.,Very friendly approach, nice explanation about problem, treatment and future action. Polite approach in behaviour. ,Very nice appointment I like it so much but I have got so much of pain in my teeth after my braces please help me,I thank Dr Ankur Gupta for advising me to have a surgical extraction of my impacted wisdom tooth well in time so that the other tooth don't get affected. A specialist in surgical extraction was assigned the task which was done effectively. Most importantly the care bestowed on us patients by Dr Gupta, Dr Disha and Dr Neha is unmatchable. It helps us to go through difficult treatments in a much more easier manner. My special thanks to Dr Neha who handled  my complicated case in the most patient, gentle and caring way. My experience at dentistree was really different and I really appreciate it.  I highly recommend Dentistree to All.",500,Dr. Ankur Gupta,5.0,Dentist
Apollo Gleneagles Hospitals,Kolkata,"MBBS, MD - Obstetrics & Gynaecology, MRCOG(UK)",26,"She is a great doctor. She treated me really well. She dealt with my issue very nicely and gave me medicines accordingly. ,Dr Bhattacharya is a very nice lady to visit and had made my complicated pregnancies an easy journey for me. My regards and good wishes to her and her entire team!,Nice to talk and explanation. I feel happy for her explanation. Reasonably tell us and give point point answer where necessary.",900,Dr. M. Padmaja Bhattacharya,4.0,Gynecologist/obstetrician
Fortis Hospital - Anandapur,Kolkata,"FRCS - Otolaryngology, FRCS - Otolaryngology, MS - ENT, Diploma in Otorhinolaryngology (DLO), MBBS",32,"I just had a simple consultation with Dr. Dev Roy. He was genuine and practical. He didn't suggest any medical procedures but he gave some medicines which worked really fine with me. It was a kind of smooth and satisfying session. I highly recommend him to all. The faculty was courteous enough and supported with the formalities. The waiting time can be expected as usual in hospitals.,The consultation was very smooth and convenient. The doctor discussed the health issues very well and gave me the proper treatment. I am highly satisfied with that. I waited only for 20 minutes to consult the doctor and the overall experience was good.,We had to wait extremely long as the doctor arrived late and then was in too much of a hurry to explain the surgery procedure he had just prescribed and asked us ""look it up on the internet"" ",990,Dr. Dev Roy,3.5,Ear-nose-throat (ent) Specialist
Dentotsav Dental Clinic,Kolkata,"BDS, MDS - Conservative Dentistry & Endodontics",14,"She explains everything very nicely . She is friendly and well behaved . She takes care every aspect of patient .,I visited doctor Radhika for re-rct treatment.  ,I'd been suffering from frequent cheek bites (every time I'd eat). Dr. Radhika did the bite correction procedure on my teeth. I felt no discomfort during the 5-minute procedure and I haven't had any cheek bites since. What's more, she discovered that one of my teeth had a cavity, something another dentist, whom I'd visited a few weeks earlier, had missed! Dr. Radhika filled the cavity and though I was expecting pain, I felt none. Also the filling material she used matched my tooth so well that when I was asked to check in the mirror, I couldn't tell which tooth had been worked on! It looks and feels absolutely natural. I also liked how she patiently answered all my queries before and after and explained the issues, possible solutions, and future actions in layman's terms and with easy to understand analogies. I liked the Dentotsav clinic as well. Everything on the premises looks neat and clean. The location itself is easy to find, especially on Google Maps. Moreover, the clinic has a very capable and polite staff. I was nervous before I got there but was made to feel comfortable as soon as I reached (Also, realizing that the clinic is equipped with the latest technology tools calmed my nerves further). All in all, it was a very satisfactory and pleasant experience (never thought I'd be using the word 'pleasant' to describe a visit to the dentist! :P). So, based on my visit and treatment, I believe that anyone seeking dental assistance would be in good hands with Dr. Radhika at Dentotsav. ,Really a nice doctor, very helpful,focused,well behaved, friendly & patients oriented.              ",1000,Dr. Radhika V Goel,5.0,Dentist
"South Citi Care,Implanting Smile",Kolkata,"BDS, MDS - Prosthodontist And Crown Bridge",10,"I went to the doctor for my husband's bleeding gums problem. He explained us patiently and did the right treatment. We are very happy with the service.,He explained me more than I expected and he was very friendly. He also told me how to take care of my teeth for future.,Doctor is very caring and treats his patients well. All members of our family visit him for our dental treatments. Highly recommended.,I spent this semester on IIMC as an exchange student when I got toothache. Finally I found Dr. Anish Bharti on practo and based on the feedbacks he looked very sympathetic. I'm happy that he met my expectations: he was always on time, he put emphasis on explaining everything to me and he has a great knowledge and expreience. I felt the whole RCT happening very easy way and now I don't feel any pain. He was always available to advise me whenever it was required and he is also secured me that I can reach out to him with my questions once I return to Hungary.",400,Dr. Anish Bharti,"5.0,5.0",Dentist
Mission Smile,Kolkata,"BDS, MDS - Orthodontics",20,"It is always a pleasant experience to get treated by  Dr Amrita Das ,& Mr Sanjay who with their skilled hands  &  smiling help make a difficult patient  like me feel at home,My mother has been facing pain in her teeth since a few years as one molar cracked while she was snacking on a local delicacy. She visited several dentists but none understood her problem precisely and could give her a solution.,The doctors are so understanding, competent and professional. They give the best results in least time. Angshuman Bhattacharya n his team made me achieve my dream smile n teeth alignment. Everyone says to me that my smile is very attractive and perfect n I owe them a lot. ,Dr. Angshuman & his team are awesome! The staff is inviting and polite and from the moment I entered there was professionalism and transparency. Dr. Angshuman is attentive to questions and extremely knowledgeable. The space is very clean and well maintained which accents the modern tools and equipment that the team uses. This is my 1st review here,& I want to potentially help others in their decision making process! Needless to mention,Dr. Angshuman is  friendly, professional and has great dental skills. Two thumbs up!!",900,Dr. Angshuman Bhattacharya,5.0,Dentist
Fortis Hospital - Anandapur,Kolkata,"MDS, BDS",7," There is no doubt about it. Although I visited him for a single time, I am very much satisfied with his treatment. There was about half an hour of waiting period. The overall experience with the hospital was quite good.",660,Dr. Himadri Roy Chowdhury,3.5,Dentist
Apollo White dental,Kolkata,"BDS, MDS - Prosthodontist And Crown Bridge",13,"Doctor is very friendly with his patient..We don't hesitate to tell our problem with him..n he explains it very properly..I would definitely recommend to others,A young doctor who is open to explanations and gives u honest feedback. ,I recommend Dr. Soumya Ray to everyone who is having tooth related problem be it major or minor. He is a very caring doctor and takes care of the minute details of the issues the patient is experiencing.He takes care of all the problems with a nice smile which is enough for most of the patients to feel comfortable and accommodative.I think the name 'Soumya' is appropriate for him. I really appreciate the way he treated me. He is very punctual and has state-of-the-art instruments and facilities. Thank you.,Dr.Soumya has been my dentist for more than two years now.He was recommended to me by a friend and i cant thank her enough.I got ceramic crown fittings,root canal treatment done by him.And he did an excellent job.It changed my appearance and further gave me more confidence.And i smile better now.He is an excellent dentist,well versed with his craft,is polite to a fault,approachable,visits to him are stress free and pain free.Visits to dentists had never been pleasant but that changed after I started visiting Dr.Soumya.I live 40 minutes away from his clinic but there is no one i can trust my teeth with but him.I couldn't recommend him enough.He has his way of putting his patients at ease.",1000,Dr. Soumya Ray,,Dentist
Apollo Gleneagles Hospitals,Kolkata,"MBBS, MS - General Surgery, MCh - Pediatric  Surgery",44," He is extremely experienced, his consulting skills are highly appreciable. His recommendations are highly valuable. He listens each and every words said by patient party and then prescribes the medications. Highly recomenndable",800,Dr. BISWANATH  MUKHOPADHYAY,4.0,Pediatric Surgeon
"AMRI Hospitals,AMRI Hospitals",Kolkata,"MBBS, MD - Radiotherapy, Diploma in Radio Therapy",29,"Our experience with Dr. Tamohan Chaudhuri was very satisfying.,Went for 2nd opinion on my uncle's stage iv cancer spread to multiple organs. Dr saw all the reports and explained in details ,options available and effect on quality of life in remaining life span. He stressed not to over treat the patient as it is non curable state and emphasis should be more on quality of available life.,A fine physician, well aware of all methodologies. The explanations for each step provided were convincing. I would certainly recommend  a visit.",800,Dr. Tamohan Chaudhuri,"4.5,4.5",Oncologist
"Dentaris-Happy Dental 2 U,Gajanan Clinic",Kolkata,"BDS, MDS - Conservative Dentistry & Endodontics",7,"Excellent enviorment, one can get confidence talking to the Doctor. Fully satisfied. Thanks  to Doctor. ,Was really satisfied and happy with the doctor and his  associate in solving my dental issue .Took utmost care and time in solving my dental problem.,I am very happy with Dr Hazra's prompt response and swift treatment. Would like to recommend my peers to such a lovely clinic doctor. ",400,Dr. Ramsundar Hazra,"5.0,5.0",Dentist
AMRI Hospitals,Kolkata,"MS - Obstetrics & Gynaecology, MBBS, Fellowship in Minimal Access Surgery",29,"i have strongly recommended for the Mr.mahapatra sir.he will suggest  which is better for patients.my wife is having uterus fibroid,it's operated by Mr.& mrs.mahapatra sir within 2 hrs successfully.,It's been a fantastic experience under supervision of Doctor Sankar Dasmahapatra. He is very approachable n highly responsive over wats app which helped a lot during the critical period. Thank you Sir for making the pregnancy journey for US, a memorable one.,We went to the Doctor when my wife was in the early stage of pregnancy. The pregnancy was complicated and my wife experienced early bleeding, and leakage in amniotic fluid. We were blessed to meet Doctor Sankar Das Mahapatra, who suggested us the timely medications and also the necessary tests required. He took care of the patient's health and of the baby's health too in the womb. Moreover he is very punctual and reachable. Whenever we felt certain problem related to the pregnancy symptoms, we called him, and he gladly received the calls and suggested the needful, and redressed our panic. This is also worth mentioning that when we paid him the last visit, and my wife complained that the baby's movement in the womb is not traceable, he immediately decided to do the operation in that night itself. Thanks to his timely decision, later the pediatrician said the amniotic chord was moving around the throat of the baby, and the timely operation has saved her from further complications. ",700,Dr. Sankar Das Mahapatra,4.5,Gynecologist/obstetrician
Apollo White dental,Kolkata,"MDS, BDS",13,"Dr.Mitra is very friendly and approachable and an outstanding doctor overall.My misaligned teeth took 3 yrs but Dr.Soumya Mitra was so confident that I was not at all  douftful of getting treated by him. I strongly recommend Dr. Mitra,Very helpful explaining the problem very well & listens to your problem. Will recommend to my relatives & friends. ,Dr Soumo Mitra is an expert in the true sense, he has a very amicable approach which helps you feel comfortable and you would be able to discuss your issues more easily and in a better way. I was really satisfied by the way he provided various angles to his solutions and I really feel he is definitely worth a visit for your dental issues,Dr Suomo is an outstanding Orthodontist. His expertise made sure I understood the process and felt confident in his ability to get he desired outcome",1000,Dr. Soumo Mitra,,Dentist
Bengal Dental & Oro-Facial Care,Kolkata,"BDS, MDS - Periodontics",11,"She is very decent and experienced dentist. She observed thoroughly my teeth condition and also explained well.,Very good doctor. Best thing about she doesn't act like a doctor.. very satisfied with her treatment.",200,Dr. Sananda Saha,,Dentist
Apollo Gleneagles Hospitals,Kolkata,"MBBS, MD - Obstetrics & Gynaecology, MRCOG(UK), DGO",21,"She is become one of my most favourite doctor.. her polite behaviour touches me mst and listen very carefully about problems..,Dr Ramana Banerjee is the best doctor with full of satisfaction. She share everything in details regarding our problem, so that we can prepare positively. For me she is God.. I fully trust her. Very recently I done my cesarean section by her.. I had some complications in my pregnancy . Only because of her I blessed with a baby boy. She never shows busyness while talking., Thank you God for helping me to find best doctor. ,She's positive, full of life, very experienced. She takes away all your tensions and that's huge plus point as a doctor. Half the battle is won,rest she will take care off.,She was pretty rude from the get go, and for a young woman who does not understand much of what was going on, she didn't take out any time to explain the issues,,really overall it was a bad experience.",900,Dr. Ramna Banerjee,4.0,Gynecologist/obstetrician
Apollo Gleneagles Hospitals,Kolkata,"MBBS, MS - General Surgery, MCh - Plastic Surgery, MRCS (UK)",20,"I had complete face contouring surgery. Including buccal fat removal, fat grafting to face, botox to the jaws, liposuction of the neck and dimple creation about 3 months ago. I love the shape of my face now. It looks very very very good and I get many compliments from people for how my face looks now. It resembles a chiselled ideal face. Thank you very much Dr Srinjoy Saha.,My right hand elbow had a scar.Then I visited Dr.Srinjoy Saha and he did laser treatments on my hand in OPD and avoiding surgery and skin grafting. Now my scar is 80% 0f cure.Now my treatment is going on. So I had a really very good experience.,Dr Srinjoy Saha is the best plastic surgeon!!! He performed liposuction and tummy tuck on me. I had a bloated abdomen after 2 pregnancies, and was depressed after being grossly out of shape for many years. The way my abdomen was sculpted back into proper shape with perfect plastic surgery is admirable. It looks as perfect as a chiseled Venus right now! Words cannot express how grateful I am for giving back my life to me. Thank you for being there for me.",800,Dr. Srinjay Saha,4.0,Plastic Surgeon
Apollo Gleneagles Hospitals,Kolkata,"CCT - Cardiology, Fellowship In Interventional  Cardiology, MRCP (UK), MD - Medicine, MBBS",24,"To the point. Friendly. , Spends lot of time with the patient. Understands the problem & diagnose the ailments. ",1000,Dr. Bikash Majumder,4.0,Cardiologist
Implanting Smile,Kolkata,"BDS, Diploma in Cosmetic Dentistry",12,"Giving assurance for total remedy and immediate action taken to rectify; also fixing future date convenient for the patient to complete the job. Looking forward for total cute. , understands the patient's psychology very well and conducts the treatment accordingly.,Dr Jashwant Kr Sinha is ,experienced dentist who pays keen attention to every single detail while working but he is also a thorough gentleman and a friendly person who makes a lot of effort to provide painless dental treatment using state of the art infrastructure. He also explains his procedural techniques to create transparency in doctor patient dealing and undoubtedly has a lot of passion for his work and compassion for his patient's problems. I underwent a 3rd molar extraction and experienced absolutely zero pain during the process and surprisingly no discomfort after it as well. I would recommend his service to anybody and anytime.,Here,you can find all solutions of your tooth related probkems. Here,you can find all modern equipments and immediate treatment. What can I say about Dr. Jashwant sinha..... He is truly like a gem for me. I had a problem in my teeth then I visited Ur's Toothfully and met Dr. Sinha and Dr. Sinha done my RCT  in flat six days. I really appreciate his work towards me. The whole staff is so skilled in their respective work and so kindly to their patient.overall, my experience with Dr. Sinha and his team is excellent. I highly recommend Dr. Sinha to my family,friends and to all of you.",300,Dr. Jashwant Kr Sinha,5.0,Dentist
Gajanan Clinic,Kolkata,"BDS, MDS - Oral & Maxillofacial Surgery",7,"The experience was quite good .The doctor was quite experienced in his work and my treatment was over within the given time period., well bahaviour.patient is satisfied with his treatment.His treatment is excellent...,I visited the clinic for treatment of mucocele in the inner lip region. Initially I was a bit tensed since it was a cyst like formation however Dr. Khandelwal was excellent explaining every detail about it. The surgery went absolutely smooth and painless. Experienced no pain or complication after the surgery. I would highly appreciate the fact that follow-up calls were made from the clinic regarding the well being of the patient. I would highly recommend Dr. Ankit Khandelwal for explanation of health issue, treatment satisfaction and follow-up made by his team. ,patient had multiple zygomatic arch fractures and we needed a clear and honest opinion on how bad it was and if surgery was absolutely required due to the patient's old age. To our relief he said we could do without surgery and explained the limitations that might stay because of that and we were all right with compromise ..he showed some jaw exercises which would aid the patent with faster recovery and even suggested that we need not return if things are all right :) that was very nice of him!! We highly recommend this doctor. He attentively listens to his patients's problems and advices accordingly unlike few doctors who are in a rush to operate on the patient even when surgery can be avoided! ",500,Dr. Ankit Khandelwal,5.0,Dentist
