Address,City,Degree,Experience,Feedback,Fees,Name,Rating,Specialization
"Apollo Spectra Hospital,Apollo Medical Center",Chennai,"MBBS, DNB - General Medicine",34,"She took ample time to diagnose the issue and provided Correct treatment. She was patience enough to listen our health issues.,Step by step systematic approach. Very good listener. She has got cured my wife who suffered from Dengue fever and had a unique saw toothed behaviour.that ran into.for 20 days. Rightly or nvolved infectious disease Department.",600,Dr. Srimathy Venkatesh,"4.0,4.5",Internal Medicine
The Apollo Heart Centre,Chennai,MBBS,31,The doctor was very arrogant doctor to me. Did not even ask me to sit. The only question he asked me was an indirect reference to my pay check. The staff in the hospital was also poorly trained. ,1000,Dr. Ravi K. Viswanathan,,General Physician
Apollo Speciality Hospital,Chennai,"MBBS, DNB - Cardiothoracic Surgery",39,"Highly experience and successful doctor with lot of patience with patients along with attenders. I'm very with sir attitude.,Simply superb very nice handling by staff and very respective with people way of treatment is good .",1000,Dr. Janarthana Reddy,4.5,Cardiothoracic Surgeon
Apollo Hospital,Chennai,"MBBS, MD - Obstetrics & Gynaecology",28,,500,Dr. Uma Selvam,,General Physician
"Fortis Malar Hospital,Apollo Spectra Hospitals",Chennai,"MBBS, MD - General Medicine",25,"She is always too good in giving treatments to elderly people , very friendly and kind doctor. She is giving treatment to my mother for more then 15 years now. , She is very polite and caring. Her medicines , has provided me an utmost satisfaction until now. It's been almost a year consulting her. There will be 15 minutes of waiting period. I am happy with the overall experience. Will surely recommend the doctor.,Took my mom recently, it was just few min, we were explanation from our issue and she said take these for 10 days and then we will see and no other, she didnt explain whats what and not sure if any other issue.. wouldn't have been hard to explain and being freindly,I would never recommend this Dr to anyone. When i went to consult her she was very rude and gave a curt reply that ""this is not my area goto another Dr."" She could have been at least pleasant when talking to a patient, not that we are consulting free of charge!",500,Dr. Sheethal Suresh,"4.5,4.0",Internal Medicine
Apollo Hospital,Chennai,MBBS,35,HE IS A GOD HE SAVES MY LIFE.  ON 1996 NEURON TREATMENT  TO 2011 FOR T.B TREATMENT NOW I ENJOYING MY LIFE WITH MY CHILDREN  I WILL NEVER FORGOT THE GOD HE GIVES ANOTHER LIFE TO ME THANK YOU DOCTOR .,400,Dr. R M Bhoopathy,3.0,General Physician
Apollo Speciality Hospital,Chennai,"MBBS, MD - General Medicine, DM - Cardiology",12,"helped me recover after a heart attack, when it comes to stenting as he did for me in a small artery with atmost precision.He always listens to your issues and gives his feedback for your health and lifestyle issue",600,Dr. Anand Gnanaraj,4.5,Cardiologist
Olive Heart Clinic,Chennai,"MBBS, MD - General Medicine",27,"Excellent & very caring doctor. Explained all the questions we asked  and diagnosed the problem with utmost care. ,The doctor was , friendly explained everything in detail most helpful much kindful more appreciated,Feeling better and able to understand ways to solve my problems through positive thoughts, prayers and good acts., He has been treating my congenital ctga and dextro cardiac with great care for the last ten years. Thanks to Dr. KPS for keeping me going smoothly. ",500,Dr. K.P Shamsuddeen,5.0,Cardiologist
Apollo Spectra Hospitals,Chennai,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",24,,700,Dr. L. Anand,4.0,Gastroenterologist
Apollo Children's Hospitals,Chennai,MBBS,61,,1500,Dr. Kamala D,4.5,General Physician
"Apollo Hospital,Apollo First Med Hospitals",Chennai,"MBBS, MD - General Medicine",21,,300,Dr. Hariprasath J,"3.0,3.5",General Physician
The Apollo Heart Centre,Chennai,"MBBS, MD - General Medicine",31,"Is it really possible to see a cool doctor in city like chennai ? Such a friendly doctor with lots of positive vibes around him. My consultation with Dr.aman is for general check up and mainly for excessive sweating on head. After all prescribed laboratory test , He suggested me to do some stress relief exercises.  Now after a month , I feel better. Sweating is now on control. Thanks Doctor for your advice and support. ",1000,Dr. J Aman Kumar,,General Physician
"Apollo Spectra Hospital,Apollo Spectra Hospitals",Chennai,"MBBS, MD - General Medicine",43,"I have just started the treatment and will know the whole experience once I am completed all the treatments ,Doctor",500,Dr. Chandrasekar Chandilya,"4.0,4.0",Internal Medicine
Humain Health,Chennai,"MBBS, MD - General Medicine",9,,500,Dr. Ramu R,,Internal Medicine
Quality Qure Ladies Speciality Clinic,Chennai,"MBBS, MRCOG(UK)",22,"It didn’t feel like it was the first time Dr. Jayashree was very friendly like i felt very secured sharing my problems with her. She gives the best tips and advice for her patients which motivates the individual. She is extremely caring and kind. Very professional. ,I really like Dr. Jayasree sharma very much because she is very friendly. And I like 2 things about her.1.She attends phone call of patients. in case if she is busy, she will call back as soon as possible. Now adays no doctos talk on the phone with patients. Their assistant only attend and book the appointment. But she is very different from other doctors in my opinion. one day I told Dr. Jayasree that, mam you are really awesome because when ever I call you or msg. you respond me immediately mam thank you so much I said. ,2. Her Punctuality. she will not make patients wait longer in the clinic. when I call her, she will tell the time. when I can meet her in the clinic so time saving and tension free.  And one day I talked with other patients when I was waiting in the clinic .they shared their personal experience i.e ( after 8 years married life a woman got pregnant after taking treatment here) like wise 3 years, 6 years. they all gave positive feedback only.  according to their feedback I think she is a (kairasiyana) doctor for infertility and women health issues. I am also satisfied with the treatment. I would recommend her to other patients. Thank you so much mam. and sorry ( I am not very good at english  I have written in between the sentences in Tamil (tanglish) 😜😜😜,Thank you very much doctor.your professional with kindness .,with friendly.i make call on in online only,Doctor was very friendly and professional maintained even my value for time. Was very energetic and was safe in handling even my wound. Took all my medical history. Thanks a lot doctor!",550,Dr. Jayashree sharma,5.0,Gynecologist/obstetrician
Apollo Hospital,Chennai,"MBBS, MD - General Medicine, DM - Neurology",25,,500,Dr. Gobinathan S,,Neurologist
A R Heart Clinic,Chennai,"MBBS, MRCP (UK)",18,,400,Dr. Sridevi Anantharaman,,General Physician
Apollo Hospital,Chennai,"MBBS, MD - Medicine",56,,400,Dr. Kanakarajan P,3.0,General Practitioner
"Apollo First Med Hospitals,Apollo Medical Center",Chennai,MBBS,47,,600,Dr. Mary Abraham,"3.5,4.5",General Physician
"Apollo Hospital,The Apollo Clinic",Chennai,"MBBS, MD - General Medicine",27,,300,Dr. Ramamurthee Kannaiyan,"3.0,4.5",General Practitioner
"Apollo Spectra Hospital,Apollo Medical Center",Chennai,"MBBS, MD - General Medicine",5,,700,Dr. Raj Madhangi,"4.0,4.5",General Physician
Apollo Children's Hospitals,Chennai,MBBS,24,Wonderful doctor.. Very friendly... took proper care of my daughter.. Post care treatment was also very good..,800,Dr. Dolly Lakhani,4.5,General Physician
Apollo Hospital,Chennai,"MBBS, MS - ENT",33,"We are very happy with doctors diagnosis skills. He knows what he does and happy to see him again. Thanks,The doctor timing mentioned is 10.00AM to 3.00PM. Actually the timing is only for 1 hour i.e. from 1.30PM to 2.30 PM what I have been told, but actually doctor didn't report till 2.30 PM. Request all higher personnel to look into the issue for betterment of the common public.",350,Dr. Kirupanandam G,3.0,Ear-nose-throat (ent) Specialist
"Apollo First Med Hospitals,Apollo Hospital",Chennai,"MBBS, MD - General Medicine",42,,700,Dr. Chinnaian Periasamy,3.5,General Physician
The Apollo Heart Centre,Chennai,MBBS,25,A true Doctor in every Sense. She Treat her patients like Her Own Children. She Explained the Problem and the medicines Prescribed. Also Explain the possible side effects ( if any) which is very rare in India.,1000,Dr. Sadhana Dhavapalani,,General Physician
Apollo Medical Center,Chennai,MBBS,36,,500,Dr. A.Natarajan,4.0,General Physician
Apollo Spectra Hospitals,Chennai,MBBS,25,,800,Dr. Shivaram Bharadhwaj,4.0,General Physician
Apollo Hospital,Chennai,"MD - General Medicine, MBBS",14,,400,Dr. Prashant Pratap Salunkhe,,General Physician
Apollo Spectra Hospitals,Chennai,"MBBS, Diplomate of American Board of Internal Medicine (Internal Medicine)",28,"Srita Mam is fantastic, no words to explain her treatment, with in very short period she cured my brother's kidney problem, such a lovely woman, the way she handle her patients, the way she understanding our problems, the confident everything is superb. god should bless Sarita mam doctor abundantly. I have never seen a doctor like this so far. lovely treatment and wonderful clinic",700,Dr. Sarita Vinod Dasari,4.0,General Physician
Apollo Spectra Hospital,Chennai,"MBBS, MD - General Medicine",15,"Very friendly and makes you comfortable. Does not scare you and at the same time conveys the seriousness of issue. Thank you doc. ,I went to the doctor (Apollo OMR) for acidity treatment. The doctor advised to undergo endoscopy. When i told that I had a bad experience with my previous endoscopy, , I wont even realize  the tube going in and coming out of my mouth. He even told that it will be over in 5 minutes.,It gave unbearable pain and discomfort., he told that I have not cooperated to the treatment , He was referring to the involuntary reflux which is a spontaneous reaction when something is thrust in to our mouth.",600,Dr. Bharath Kumar,4.0,General Physician
Apollo Children's Hospitals,Chennai,"MBBS, MD - General Medicine",23,,1000,Dr. Suresh Kumar D,4.5,Internal Medicine
Apollo Clinic,Chennai,MBBS,11,,350,Dr. Manjula Ranganthan M,3.5,General Physician
Apollo Sugar Clinic,Chennai,"MBBS, MD - General Medicine",35,,1000,Dr. Venkatraman S,,General Physician
Apollo Speciality Hospital,Chennai,"MBBS, MS - General Surgery",18,,600,Dr. Vasuki R,4.5,General Surgeon
Phoenix Pain Management Centre,Chennai,"MBBS, MD - Anaesthesiology",9,Doctor you are a miracle man and it is a miracle medicine. One tab has done this wonder. Not only walking but running. Stooping gone. Thanks a lot. Will catch up soon. Greetings n regards🙏🙏💐 ,500,Dr. Vijayaraghavan,,General Physician
Fortis Malar Hospital,Chennai,"MBBS, MD - General Medicine",36,"Well Experienced Professional Precise Diagnostic Skills, Medicine Prescription, Optimum Conversation, Minimum or No Waiting Time... Known to me > 3 decades...,he didn't spend even 2 minutes with the patient. used the stethoscope, for 10seconds and prescribed medicines. very poor service.",700,Dr. Ananth Padmanaban,4.5,Internal Medicine
New Hope Medical Centre,Chennai,"MBBS, MD - Community Medicine",24,"I've went to doctor for my child's treatment, she treated us well and now my baby was totally alright. Thanks to doctor,I've visited doctor for my serious health problem, doctor explained about the problem very clearly and gave me the treatment",1000,Dr. Margaret Punitha,5.0,General Physician
"Apollo First Med Hospitals,Apollo Children's Hospitals",Chennai,"MBBS, Diploma in Child Health (DCH), DNB - Paediatrics",30,"She is great. She is great with kids. My daughter likes to go to her. She is concerned about the wellness of the child. One problem is that the consultation fee is bit more expensive. ,We showed her recently. My child get very afraid of her after seeing her behaviour with us. We took an appointment on Tuesday. Then she told to us to do some test and said us to come next day with reports at 12:00. We go there at the mention time on mentioned date (Wednesday) . Doctors secretory told us that doctor will see the report at 1. Then the secretory at 1:30 told us that she will not see the report and told us to come next day. We told the same thing to the doctor. The doctor is taking side of the secretary and behaved with us very rudely. Will not show her second time.,Doctor always come late. Charges Rs 850/- for single visit. Don't listen the problems.very rude. Will not recommend at all.,For Vaccination we are giving money, to give vaccination why doctor is charging RS600 as a fee, This need to be changed.",1500,Dr. Shyamala J,"3.5,4.5",General Physician
Apollo OMR,Chennai,MBBS,21,,700,Dr. Balamurugan.K,4.0,General Physician
Apollo OMR,Chennai,MBBS,33,Very good service  ,700,Dr. Manju Nagarajan,4.0,General Physician
Apollo OMR,Chennai,MBBS,17,,700,Dr. Joy Verghese,4.0,General Physician
Apollo Medical Center,Chennai,"MD - General Medicine, MBBS",7,,600,Dr. Senthil Kumar S,4.5,Internal Medicine
Apollo Medical Centre,Chennai,"MBBS, DNB - General Medicine",19,Satisfied good treatment,700,Dr. Anila Chandy,4.0,Internal Medicine
Chennai Urology and Robotics Institute,Chennai,"MBBS, MD - Microbiology",15,,500,Dr. C Abba Ruba Sunanthini,5.0,General Physician
Apollo Medical Center,Chennai,"MD - General Medicine, MBBS",41,,700,Dr. Shubra Biswas,4.5,Internal Medicine
Anbu Clinic,Chennai,"MBBS, MD - General Medicine",14,Amazing doctor. Makes you feel extremely comfortable. Explains the disease very well. Highly recommended. ,400,Dr. Selvagambeer A,,General Physician
"Apollo Medical Centre,The Apollo Clinic,Chennai Urology and Robotics Institute",Chennai,"MBBS, MD - General Medicine",31,,600,Dr. Sivagama Sundari Rathnam,"4.0,4.5,5.0",General Physician
"Apollo Sugar Clinic,Apollo Speciality Hospital",Chennai,MBBS,24,"Extremely courteous, friendly. She listens to our problems and offers perfect remedy . Fully satisfied with her,I have visited this doctor and consulted her multiple Times. first time I visited when I get health check up done for my father and took her advice regarding controlling high cholesterol level.Recently I had consultant her when I was down with viral fever and I was not very sure whether it is Dengue. , I was feeling better within 2 days.only one small advice to the doctor she should keep a very smiling face.,Visited Apollo hospital with intermittent fever and dizziness and got admitted and given Saline + antibiotic.  they reported platelet count is low. Next day blood test result on platelet was further low than previous reading.,My brother we Admitted with cold and fever. Which had 3-4 days before. Doctor said may be dengue then ran the test report is negative. Gave normal iv fluids saline and dextrose. After 4 hrs doing fine. When i asked what is the status needs to perform one more time dengue test. Again negative. After 4 hrs of admission doing fine with no issues. After 2 nd report negative she said one more time it has to be done and then ll discharge. Overall paid approx 37k bill for a normal fever.",1500,Dr. Jayashree Krishnan,4.5,General Physician
Apollo Clinic,Chennai,"MBBS, MD - Pediatrics",9,Wow India's next young paed. Doctor... Well  caring sir hats off.... For ur your genuine care.... And your treatments are extraordinary... Ur fees s reasonable... Poor people can also meet this hospital,350,Dr. Subramanian.V,3.5,General Physician
Apollo OMR,Chennai,MBBS,17,,700,Dr. Senthur Nambi,4.0,General Physician
Apollo Medical Center,Chennai,MBBS,5,,400,Dr. Anu Preethi Dorai,4.0,General Physician
Apollo OMR,Chennai,"MBBS, MD - General Medicine",16,,500,Dr. Barath Kumar.M,4.0,General Physician
Apollo Medical Center,Chennai,MBBS,19,,350,Dr. Aruna Babburi,4.5,General Physician
Apollo Speciality Hospital,Chennai,MBBS,13,,600,Dr. Kavitha S,4.5,General Physician
Apollo Children's Hospitals,Chennai,MBBS,28,,1500,Dr. Shyamala Devi,4.5,General Physician
"Apollo Children's Hospitals,Apollo Medical Centre",Chennai,MBBS,15,,700,Dr. Meena Thiagarajan,"4.5,4.0",General Physician
Apollo OMR,Chennai,MBBS,28,Very friendly and approachable. I like the doctor's attitude. Very much satisfied with his treatment process.,700,Dr. Vijayaraghavan.S,4.0,General Physician
Apollo Speciality Hospital,Chennai,MBBS,12,"People may say it in words.., But from the bottom of my heart, He is the doctor who changed my way of thought , where my very thought of hospitalization is scary and traumatizing, A doctor like you made it friendly and pleasing!,If you hadn’t treated my pain, I would have gone insane. Thanks for all your support  (Medical and Emotional). Your contribution in my life is nothing short of magical.",600,Dr. Raja Amarnath,4.5,General Physician
Apollo OMR,Chennai,MBBS,27,,700,Dr. Yusuf,4.0,General Physician
Apollo Medical Center,Chennai,MBBS,18,,600,Dr. Hari Priya J,4.5,General Physician
The Apollo Heart Centre,Chennai,"MBBS, DNB - General Medicine",31,,1000,Dr. Sujatha Sampath,,Internal Medicine
Apollo OMR,Chennai,"MBBS, MD - General Medicine, DM - Nephrology",15,,700,Dr. Venkatesh Rajkumar.S,4.0,General Physician
Apollo OMR,Chennai,"MBBS, DNB - General Medicine",24,"The doctor is very friendly and listened to our problem patiently. She asked history of illnesses and allergies before prescribing medicines and then explained the need of each medicine to us.She asked us to call if there was no improvement. ,She is very kind we regularly meet and she suggest and gave tips for health ,second time i am meeting her and this time experience is very bad.  i dont see concern for patients . she is inducing fear, suggesting echo and ecg for body pain., she also influenced angio, ,Very bad experience. Just went for common cold symptoms and she told me it could be swine flu. , ",700,Dr. R.M.Kumudha,4.0,General Physician
Sarath Dental Clinic,Chennai,"BDS, MDS",24,"I recommend this dental clinic as I am overall happy with all my dental checkup both for my daughter and myself ,I am being a Doctor! I would definitely suggest Dr.sarath he is friendly and well knowledged person! His treatment was very satisfying and his clinic is pretty well equipped! Definitely worth visiting him for the Dental related problems! Thank you sir and mam helping me with the issue!,I visited Sarath Dental Clinic for Dental fillings, Extraction and Scaling. The treatment was , smooth and the doctors' calm and pleasant demeanor made me really comfortable. I would highly recommend Dr.Sarath and team.,I have been consulting with Dr. Sarath Chandar since 2016. It started for my mother's dental treatment where she had to undergo 3 implants and 7 root canals, due to her dental complications. It was almost 6 month long treatment after which, she was completely alright and happy. In 2019, I had developed cavities and also had to remove a wisdom teeth. With utmost confidence, I went to Dr. Sarath and it was a phased 45 days treatment and now I'm 1 wisdom teeth down and enabled with 2 root canals with crown placement. Happy to chew on both sides now. Thank you, Doctor and his support professionals in his office.",200,Dr. E. Sarath Chandar,5.0,Dentist
The Apollo Clinic,Chennai,MBBS,3,,400,Dr. O V Rajesh Kanna,4.5,General Physician
Apollo Medical Centre,Chennai,MBBS,24,,500,Dr. Kamala Lakshmi,4.0,General Physician
The Apollo Clinic,Chennai,MBBS,21,,500,Dr. D Vignesh Kumar,4.5,General Physician
The Apollo Heart Centre,Chennai,MBBS,21,,1000,Dr. Arulnithi Ayyanathan,,General Physician
