Address,City,Degree,Experience,Feedback,Fees,Name,Rating,Specialization
Ayurveda Clinic,Pune,"BAMS, Post Graduate Diploma In Yoga",12,"since last one year iam taking treatment for after menopause hair issue  and acidity . , I didnot take any tablet during last one year and hairball is in control Doctor Deepa kara is very good and friendly too.,I recommend to everyone, because she is the best doctor in ayurvedic not only behaviour and time but wherever is diagnosed it was right and accordingly given medicine and I got so much relief with medicine also I m taking other medicine for other prblms.,I like the way she listens and explains to your issues..,Doctor gave very genuine opinion and cleared all myths. Firstly she listened calmly and carefully to our concerns and read other labs reports. She saved our lots of money by advising not to do unnecessary tests that other have recommended. Simply great gesture towards patients and their tensions/concerns. ",500,Dr. Deepa Karwa,5.0,Ayurveda
Jupiter Hospital,Pune,"MBBS, DNB - General Medicine",42,"I happened to meet the doctor, the consultation experience was very good, everything was good. He is a nice doctor. I would like to recommend the doctor to others. The medicines he prescribed were helpful to solve the problem. The doctor's behaviour was very nice while talking and explaining the issues. I am satisfied with the treatment and the consultation of the doctor.,It was a good experience. I would definitely recommend the doctor to my family and friends. Doctor behaviour was very good. I'm under the process of curing and for the same query a few years back I have visited him, he resolved it. I was definitely satisfied with the treatment of the doctor. Everything is good. Because of an emergency 15-20min delay no issues.,First he was working in Mumbai when I was finding out then I got to know he sits in Jupiter Hospital. I have known him since 2012 by seeing his service. I would like to refer this doctor to others. The way he talks is very good. The explanation that he gives is understandable and also helps a lot, I'm satisfied with the consultation of the doctor.,The doctor was just trying to explain nurses that they had taken a wrong measurement and fighting with hospital management for at least 10 mins while I was still uncomfortable at his bedside. He asked 3 different people to measure my heartbeat just to show they had made a mistake and only treatment he had in his mind was to get me admitted. I refused then he said it is at your risk, and did not even write any medicines in first place to give me some relief, later when I requested to write at least some preliminary medicines for my condition then he wrote medicines and many lab tests (explaining they are expensive) . His diagnosis was fine ,Why pay the high fees if you just want to admit me and not prescribe any medicines ?",2000,Dr. Rajiv Narayan Soman,4.5,General Physician
Ayurveda Clinic,Pune,"BAMS, MD - Ayurveda Medicine",16,"Very friendly, patient and compassionate. Explains the illness and further treatment. ,I was searching for a Ayurvedic doctor last year in November as i was really wanted to avoid alopathy treatment every time I get cough and cold. I searched on Practo and found good reviews about Dr. Adesh on it. Dr. Karwa not only listen your problems patiently but makes full record of yours in his system. As he says Ayurveda treats root cause of disease and not symptoms and result will take time. I found time spend is worth and effect remains for longer time. Now me & whole family go to his clinic for any treatment and Would certainly recommend others.,Dr. Karwa always listens to problems and gives a lot of time to each of his patients. That's the reason the consultation mostly starts little late, but that can be justified by the way be attends to each of his patients. He is very professional, very enthusiastic, has a lot of patience while listening to your issues, goes into the minute details of the ailments and doesn't believe in quick fix solutions. I have already started seeing progress with his medications. Recommending him goes without saying. :)",500,Dr. Adesh Karwa,5.0,Ayurveda
"Dhope Diabetes Care And Thyroid Clinic,Jupiter Hospital",Pune,"Diploma in Diabetology (Mumbai University), MBBS",14,"Doctor is very friendly.explained everything necessary precautions to be taken. Very convincing.he has good experiences in diabetes.,The doctor is quite friendly, hear the patient patiently. He is quite aware of of the  patient's comfort, time and needs. I am happy and satisfied to have treatment from him.,Dr.Rahul Dhope Sir have very good understanding of his patient and give , medical advice.,Very well, better than diagnosis consultant.",500,Dr. Rahul Dhope,4.5,Diabetologist
Rising Medicare Hospital,Pune,"MBBS, MD - General Medicine",9,"Dr. Giri calmly listened to everything I had to articulate regarding my condition and after a few checks have his diagnosis and explained how it might have been caused and how it has to be dealt with, he then listed out the prescription and explained what the purpose of each medicine was. He also detailed what he would ideally do in case the problem escalates. After the consultation he also provides 15 free messages for any quick reaching out that needs to be done in case of emergency or to even let him know of your progress. He is very accessible and his medications also have the desired effect from my experience. Recommended.,I have visited the doctor as my blood sugar levels are really high. Doctor listened to my problem with patience and suggested the ,remedies.,My husband had cough and fever. and I was very worried because of the virus going on. but the doc was very friendly and checked him thoroughly.  we did not have to wait too long. he explained the symptoms and medicines. Also he asked the right questions and listened to us patiently.,Went for newly detected diabetes.Dr Deepak Giri is Very well understanding ,calm, friendly , satisfied to me  . Still undergoing treatment but feeling better than previous as I got admitted . Thank you doctor and rising hospital staff .",400,Dr. Dipak Giri,5.0,Internal Medicine
NRS Hospital,Pune,"MBBS, MD - Medicine",23," I was suffering from Fever and persistent coughing which was lasting upto 2 hours at night. In the times of Corona virus , I was pretty scared with the symptoms , though I had not come in contact with any foreign traveller.He ensured all necessary test were done and it came out to be a lung disease. I recovered well within 6 days and 101% satisfied with the treatment.,I took my mother Dr. Survase for routine check-up as she was having weakness in whole body. The doctor was clinical in approach and explained the root cause well and he suggested for some blood tests. The tests were clear and you'll get the value for your money.,First I would like to reiterate that he had been my go to doctor for a long time in Pune until one fine day when my blood reports were off the chart.The doctor asked me to do iron and vitamin b12 and folic acid  tests .I did the same and paid 4000 rs for the same.When the reports came out I found out that only iron and vitamin d tests have been done.Rest of the tests were not done but they took money for it and never cared to return back.,takes money also to review the reports.I saw the doctor on 1st and I went to see him on 6th with the reports and I was asked to pay the fee.,I had been a regular patient but would henceforth not visit him again,I went for excess foam in urine with a unique smell and possibility of Diabeties. Doctor wrote too many of blood test , he has pathology lab too attached. When I checked the cost of these test receptionist said 10500 Rs. What I actually needed were test to find protein content in urine and diabeties",600,Dr. Narayan Survase,3.5,General Physician
Chest Care Centre,Pune,"MBBS, Diploma in Tuberculosis Diseases (TDD)",17,"Very good experience  very much good information given regarding disease and techniques taught regarding use of inhaler, always recommend doctor to my near and dear in future ,I'm satisfied with consultation Doctor explain medicines and disease very wellDr clear my all queries ,Nice ,friendly and gave elaborative info of the disease (cough reasons) . Some precautions were also suggested with reasons. Thus was useful.",500,Dr. Prafull Warghane,,Pulmonologist
Shree Ayurved and Panchakarma Hospital,Pune,BAMS,12,,350,Dr. Jaishree P. Daundkar Patil,4.0,Ayurveda
Pawana Hospital,Pune,"MBBS, DNB - Respiratory Diseases, FCCP - Pulmonary Medicine",13,"My Dad suffering  from coughing (Bronchial Asthma) past 8 months. After first consultation  with doctor got immediate relief from coughing.,Dr. S.K. Toke quick diagnosis helped us to take quick actions.,. He's a great listener, asks the right questions, and is genuinely concerned about the patient’s well-being. The explantion to for the root cause was also well explained by him. I had little to no wait time when I visited the clinic. I was suffering from a bad flu and uncontrollable cough later diagonsed as puneumonia. After few visits and the right medication prescribed by Dr Toke I was fine in a weeks time.,Friendliness.Excellent health problem explanation. Good solution for Heath problem.. Great response in follow up visit",500,Dr. S K Toke,4.5,Pulmonologist
Jupiter Hospital,Pune,"MBBS, MD - General Medicine",22,"Nice doctor. Very professional. Issue for throat infection was explained properly to us and precautions to be taken well were mentioned by the doctor.,Good diagnosis. Not one to suggest test unnecessary. Will give only reqd medication.nothing not required,Highly unprofessional and arrogant. Refused to meet despite having proper appointment. The doctor needs to work on his behaviour towards patients.,on Practo fees was mentioned as 700 but when I reached there they charged me 1100   110 =1210. lady said we have increased it this week and have not updated Practo",1100,Dr. Mahendra S Dadke,4.5,General Physician
Apollo Clinic,Pune,MBBS,15,,500,Dr. Sunayana Shinde,3.5,General Physician
Apollo Clinic,Pune,MBBS,7,"I had an antiobiotic allergy with O2 tablet, which the doctor immediately captured while examining me and later due to that allergy I was diagonosed with Grade 1 Piles. I am undergoing the treatment for the same. My Allergy is gone. And my piles is also on verge pf getting cured. Doctor is very friendly, explains very well and gives you the real and actual reason why are we suffering from that disease by asking general questions. His medications are doing wonders on my body. His medicines are way too mild and he gets the treatment on the spot. Right now after piles I have gone through some blood tests (heomogram and vitamin B and D tests) which the reports were positive about deficiency of both vitamin B12 and D3. Which I am undergoing the treatment with Dr Chinmay Naik. I Will surely recommend Dr Chinmay Naik to my family friends and relatives. I am very impressed with his overall experience as a Doctor. Doc you are doing a fantastic job. Keep up the good work and treat patients like us like you are doing from  past years. Kudos to you.!!! cheers.!!!,Dr Naik has shown good support in Hostel Student care which we run in Viman Nagar and Karve Nagar. we are happy with his support.Beeurban.in Hostel, Her talking and behaviour is good and freely talk with me. I satisfaction ",400,Dr. Chinmay Naik,4.0,General Practitioner
Apollo Clinic,Pune,MBBS,25,,500,Dr. Nilanjan Banerjee,4.0,General Physician
Olive Health Center,Pune,"MBBS, MD - Respiratory Medicine",10,"Very friendly ,l would not go to any other chest physician ., Explained me very well..The hospital was also very clean ... The working people of the hospital were also very good.",500,Dr. Anup Bhoyar,4.5,General Physician
Apollo Clinic,Pune,MBBS,15,Went to see Doc Bahrainwala for mild fever and cough. She analyzed the symptoms very nicely. Prescribed viral fever medication. And within 3 days I have recovered. Fully satisfied with the treatment. Thanks doctor.,500,Dr. Mushfiya Bahrainwala,4.0,General Physician
Sirius Wellness And Outreach Medical Services Clinic,Pune,"MBBS, MD - Emergency Medicine",11,"He is a very friendly doctor and was able to answer all my queries. He is also very patient and didnt rush me at all,good experience also He was  listening carefully & given  too much time. I think dr is that who listen to patient & give time. And he is that. ,Excellent and recommended.Doctor understands your problem and make understand the patient about the cause of problem and remediation. Very friendly and hence patients are recommended",500,Dr. Ravi Pratap,5.0,General Physician
Apollo Clinic,Pune,MBBS,12,,500,Dr. Tejas D Hambir,3.5,General Physician
Apollo Clinic,Pune,MBBS,21,,400,Dr. Kalpana Pote,3.5,General Physician
Apollo Clinic,Pune,MBBS,15,,500,Dr. Ashish Bhangle,3.5,General Physician
Apollo Clinic,Pune,MD - Physician,6,,500,Dr. Kiran Sudhare,3.5,General Physician
Apollo Clinic,Pune,"MBBS, MS - Orthopaedics",6,,500,Dr. YOGESH SISODIA,4.0,General Physician
Apollo Clinic,Pune,MBBS,7,"We went for kid vaccination. He was very nice to my kid. Everything went very smooth.,I visited Dr.Palves's clinic for my vitamin B12 deficiency. Very calm and explain in such way that patient really understands medical stuff. I visited 4 doctors in wadgaon sheri area but couldn't get good results but i found Dr.Palve,Now after taking 2 consultation from him my vitamin deficiency is , cured. He is very friendly and now he has become my family doctor.,Very costly.He charge me Rs. 500 only to give Medical Certificate. Dont know how one will go for his hospital after this Terrible experience. ",500,Dr. Palve Amit Hanumanrao,3.5,General Physician
Apollo Clinic,Pune,MBBS,4,,400,Dr. Ruhi Shaligram,4.0,General Physician
Apollo Clinic,Pune,"MBBS, Diploma in Tuberculosis Diseases (TDD)",9,"Dr Geetanjali Patil was friendly and quick to understand the problem , ",400,Dr. Geetanjali Patil,4.0,General Physician
Apollo Clinic,Pune,MBBS,10,,400,Dr. Bijal Mistry,3.5,General Physician
Deccan Multispeciality Hardikar Hospital,Pune,"MBBS, MD - General Medicine",26,,900,Dr. Gauri Damle,4.5,General Physician
Apollo Clinic,Pune,MBBS,7,,500,Dr. Raghavendra borgaonkar,3.5,General Physician
Prudent International Health Clinic,Pune,"BDS, PG Diploma In Clinical Cosmetology (PGDCC), Diploma in Implant Dentistry",21,"The doctor is very friendly and gives a lot of information on the treatment being done. Very sensitive as well,Dr. Pooja Bansal a good experienced  doctor who knows  her job very well. Takes care personally explains the health issues. I am totally satisfied with her services. I had gone for dental cleaning and gum pain. ,I got know about Dr. Puja from my colleague when I was searching for a good dentist in Kalyani nagar location. I scheduled an appointment for my tooth pain late evening. Dr. Puja, well experienced ,She explained the whole procedure very well and also, explained the necessary treatments. RCO & 4 sittings were done my Dr. Puja and was extremely gentle and smooth.The core and final filling was done by Dr. Naina. She examined the treatment in details and did it tremendously well.I am very happy with the treatment and processes that Dr. Puja & Dr. Naina follows.Overall, a fantastic experience..!,It was a great experience. Dr. Puja and Dr. Naina both were amazing and they explained me the problem so well. The prescribed gel was cherry on the cake which helped me to get relief from the gum swelling quickly. Thumbs up to the doctor and the team.",300,Dr. Puja Bansal,4.5,Dentist
"Dr Mathesul's Dental, Orthodontic And Implant Center",Pune,BDS,18,"I was having terrible pain in upper tooth.I was scared of injections and dental treatment. My friend recommend me dr awanti madam do dental treatment.i cannot believe I didn't have any pain while doing treatment.dr awanti is so skillfully and explained very well the dental situation.now I can eat anything.,I am very happy from the treatment of doctor. I felt relax that my teeth are in good hands. She explained me treatment step by step. I have never given this much of attention to my teeth the way doctor was concerned . I definitely recommend dr Awanti Mam for dental treatment without any hesitation.  Thank you mam ,I am. very happy with the doctor. She was made me very comfortable. Very clean and hygienic clinic. ,Dr. Explained very nicely,  my self and my family taken treatment from 2006, ",200,Dr. Awanti Mathesul,4.5,Dentist
Ladkat Dental Clinic,Pune,"MDS - Periodontology and Oral Implantology, BDS",15,"Patient friendly, keeps you calm while procedure is going on, no tension doctor. Keeps the atmosphere joyful while operating.,very friendly doctor and explain the exact condition of oral health treated patient as a friend and guide them for best oral health ,Yesterday lot of pain in tooth recommendate to doctors.Now feeling better. not pain in tooth ,I've been consulting Dr. Amit Ladkat sir since 2015 for different dental issues and they always give you a detailed explanation with the plan of the treatment. First time I went for root canal and I would say it was done smoothly without pain and it's been 4 years there is no issues with the teeths on which root canal was performed. Same goes for the treatment for my brother, father and mother also. My parents were struggling with the dental issues from a long time and now as the treatment is completed for my dad; He is very happy with the results and have not encountered any issues till now. Currently,my mom is getting the Dental implant from Ladkat clinic and I'll update the result once compeled. I would recommend Dr. Amit sir for any dental issues and I'm glad that I found a doctor like you sir. Thank You! ",300,Dr. Amit Ladkat,5.0,Dentist
Lifeberries Healthcare Dental Clinic & Diagnostics,Pune,"BDS, MDS - Conservative Dentistry & Endodontics",15,"Great experience, friendly staff, well maintained place, Recommend for everyone having to treat for teeth.,Has a great experience of getting my root canals, wisdom tooth extraction done. Procedure went flawless. Doctors explained the process very well, were courteous and approachable. Would like to thank Lifeberries team for doing a great job. ,Completely satisfied with treatment. During treatment I was never feel any pain. After treatment doctor ask regarding any problem on call... Very caring treatment... Thank you so much... ,Perfect treatment , professionalism at it's best , soothing ambiance .",200,Dr. Surbhi Bhatia L,5.0,Dentist
Kothadiya Ent Clinic,Pune,"MBBS, Diploma in Otorhinolaryngology (DLO)",21,"I was suffering from a long term recurring bacterial infection and doctor recognized it and after I starting medicines within 48 I have started feeling better. I was going through sneezing, nose mucus hardening, glue like mucus, runny nose and watery eyes. This problem was on and off for last 3 months but was not getting cured, I am optimistic that this will not come back and I will be 100% cured this time. ,Hi.Doctor I am feeling well now. Doctor is friendly to patients. Thanks Doctor to treat me well mannered , when I came to your hospital .Bye, bye Sir, was friendly and explained the medicines he was giving. Got a quick appointment and inspite of the rush wait time was only an hour,good behaviour, satisfied with treatment.near by resistance,staff is also co operative.",500,Dr. Ajay Kothadiya,5.0,Ear-nose-throat (ent) Specialist
Apollo Clinic,Pune,"MBBS, MD - General Medicine",8,,700,Dr. Ajit Kumar Jadhav,3.5,General Physician
Dr. Prasad Bodhale Mayuresh Dental Clinic,Pune,BDS,25,"I am very happy with Dr , root cause of Dental pain immediately identified & suggested me for root canal , Team is with good experience & no pain during root canal.,An expert in his profession and very friendly. Appointment times were met and there was no delay. Hassle free treatment. I would highly recommend him.,explains the root cause..very nice behavior..very polite..fee is very reasonable..very friendly..,It was nice. I thought I had to remove my teeth after checkup but the doctor just trimmed it and make all the worry go!! Thanks Doc, You’re great! ",100,Dr. Prasad Bodhale,4.5,Dentist
Pearl Multispeciality Dental & Medical Centre,Pune,"MDS - Periodontology and Oral Implantology, BDS",20,"Jyoti mam was very descriptive about issue and different treatments available. She had explained all pros and cons in detail. she had answered all my queries. Done with treatment.  Thank you Dr.,Wonderful ... The Doctor is very learned, experienced, , explains in detail the line of treatment ,My teeth had crowding and forwardly placed.i visited for clip treatment in February 2019.i am very very thankful to Dr jyoti mohitey mam and her team for my new smile.i got tooth coloured braces here and visited every month for wire change.it was painless and they are going to remove my braces today and I am really happy.,Doctor is Friendly in nature . She is very Experienced and Giving exact solutions and currect treatment.",200,Dr. Jyoti Kailash Mohitey,5.0,Dentist
Dr. Phalle's Ayusanjivani Speciality Clinic And Panchakarma Centre,Pune,MD - Ayurveda Medicine,9,"Sir is very sincere in his treatment approach and is very disciplined. His efforts encourages patients to follow the treatment and give 100%. He gives proper time and also motivates you. Kudos to sir and team. ,I wanted to get my body detoxification as I am suffering from skin disease and Dr Shailesh Phalle really explained me very well about the treatment and panchkarma procedure was very good.I am very satisfied with the treatment which I received.Thank you Dr shailesh.,I am very satisfied with the doctor shailesh treatment for thyroid and cholesterol problem I was having. He explained the problem root cause and treat them. , I was suffering from gastritis for more than years visited every possible gastrologist but was not getting any relief contacted phalle sir through practo and got relief within months he is such a great doctor friendly and most important cares his patients",300,Dr. Shailesh Phalle,4.5,Ayurveda
"Pediatric Center & Surgical Clinic,Lifetree Healthcare And  Diagnostics",Pune,"MBBS, MD - Pediatrics, Diploma in Child Health (DCH)",16,"For us he is second God. He supported us in 3 AM in night even. We are in his care and guidance since more than 1.2 years. I can proudly say, that he has been there for my little baby Rudranshi, all the time she faced life threatening issues. I have never seen any such doctor, who is so much humble, caring and ready to support his patient all the time, in spite of the fact that his OPD is so crowded, that you may face all slots booked if you don't take appointment a day before.,He is a genuine doctor, no unnecessary tension or medicines. His explanation is clear, crisp and suggestion for diagnosis is apt. He is available anytime on call for emergencies and has been really there when parents are anxious. ,Barring the wait time, excellent prognosis, explanation. Approachable doctor, very good with the little ones.,Emphasis on non-medicinal approach towards childrens and explaining the root cause so thoroughly to ensure safety in future makes us to consult him for our child.",500,Dr. Mahesh Sulakshane,"5.0,4.5",Pediatrician
Olive Health Center,Pune,"MBBS, DNB - Orthopedics/Orthopedic Surgery, Diploma in Orthopaedics, MNAMS - Orthopaedics",20,"Dr Anshu Sachdev cool, unobtrusive well informed .I have been associated with him for the past 6yrs.Last year I underwent TKR. I observed he has a humane touch with all his patients.  His approach and friendly attitude puts me at ease ,involved with me more like family. Post Surgery I have gained confidence because, he made me believe in myself. ,Clear explanation & communication about the problem & solution.,Dr Anshu Sachdev has explained everything about illness, time for recovery and do's and dont's at length.. ibwould recommend Dr Anshu Sachdev for any kind of ortho problems., Not good experience.I visited this clinic 10 to 11 times for my wife's lower back pain , every time they take 600-800 rs appointment charges and discuss with you for 5-10mins. they give different exercises and different pain killer. , I already spend around 13000rs , finally I change clinic ",500,Dr. Anshu S.R Sachdev,4.5,Orthopedist
Dental Kraft Hingorani Dental Care,Pune,BDS,2,"Vry gentle and friendly. As I told her that I was vry nervous cause I never liked drilling.,The doctor is very professional and very understanding.,Once u visit d clinic n d Dr fixes ur teeth u need not to worry abt the tooth or teeth fr years.....",300,Dr. Neha Pradhan,5.0,Dentist
